Frequency,FreqOpti,RelCaptTag,SurveyType@Station,MonitoringStatus@Station,Origin,Sex,Locality,DATE,LAT,LON,Name_signal_type
217117,217117,000702D8AF,Post-Release,Monitored,release,male,Trarid,2012-02-24 11:40:00,33.21364,-2.22965,
217117,217117,000702D8AF,Post-Release,Monitored,release,male,Trarid,2012-02-24 11:40:00,33.21364,-2.22965,
219560,219560,0007133CD1,Post-Release,Monitored,release,male,Est Outat,2012-03-14 09:19:00,33.30579,-3.54645,
219560,219560,0007133CD1,Post-Release,Monitored,release,male,Est Outat,2012-03-14 09:19:00,33.30579,-3.54645,
219560,219560,0007133CD1,Post-Release,Monitored,release,male,Est Outat,2012-03-14 09:19:00,33.30579,-3.54645,
214802,214802,00071370A2,Post-Release,Monitored,release,male,Smar,2012-03-15 09:29:00,33.04532,-3.74944,
219632,219632,00071B1196,Post-Release,Monitored,release,male,ENJ23,2012-10-23 07:00:00,33.18060,-4.63574,
219632,219632,00071B1196,Post-Release,Monitored,release,male,ENJ23,2012-10-23 07:00:00,33.18060,-4.63574,
219632,219632,00071B1196,Post-Release,Monitored,release,male,ENJ23,2012-10-23 07:00:00,33.18060,-4.63574,
219632,219632,00071B1196,Post-Release,Monitored,release,male,ENJ23,2012-10-23 07:00:00,33.18060,-4.63574,
219632,219632,00071B1196,Post-Release,Monitored,release,male,ENJ23,2012-10-23 07:00:00,33.18060,-4.63574,
219632,219632,00071B1196,Post-Release,Monitored,release,male,ENJ23,2012-10-23 07:00:00,33.18060,-4.63574,
